name,district,latitude,longitude,type
Agara pothakudi,Tamil Nadu,10.741009,79.5068399,village
Agarahariharangudal,Tamil Nadu,11.0046407,79.7679949,village
Agarakadambanur,Tamil Nadu,10.7738494,79.7534379,village
Agarakattu,Tamil Nadu,8.9999795,77.3315103,village
Agarakonthagai,Tamil Nadu,10.8772761,79.8028581,village
Agarakothangudi,Tamil Nadu,10.9711,79.66171,village
Agaralinganadoddi,Tamil Nadu,12.602245,77.0727861,village
Agaram,Tamil Nadu,12.7740945,79.4090509,village
Agaram,Tamil Nadu,12.8220118,78.8906765,village
Agaram,Tamil Nadu,12.4828026,78.6166942,village
Agaram,Tamil Nadu,13.3316888,79.6421457,village
Agaram,Tamil Nadu,13.3552454,79.7186592,village
Agaram,Tamil Nadu,11.3578293,79.3298498,village
Agaram,Tamil Nadu,11.2380313,79.1630425,village
Agaram,Tamil Nadu,11.4120701,78.9403526,village
Agaram,Tamil Nadu,12.2890219,79.8801941,village
Agaram,Tamil Nadu,13.1158603,80.2300407,neighborhood
Agaram Mel,Tamil Nadu,13.0386468,80.0783201,village
Agaram Then,Tamil Nadu,12.8857308,80.1538452,village
Agaramanamedu,Tamil Nadu,11.1981677,79.5893597,village
Agaramangalam,Tamil Nadu,13.2491465,79.2283767,village
Agaramangudi,Tamil Nadu,10.8738754,79.2285742,village
Agaramangudi,Tamil Nadu,10.8665247,79.2295034,village
Agaramcheri,Tamil Nadu,12.8948956,78.8959551,village
Agarampalle,Tamil Nadu,13.276812,79.0428372,village
Agarampeta,Tamil Nadu,13.3526106,79.7213128,village
Agaramseegur,Tamil Nadu,11.3946616,79.104573,village
Agarapatti,Tamil Nadu,10.5211785,78.512131,village
Agarapatti,Tamil Nadu,10.4206512,78.6984614,village
Agarapatti,Tamil Nadu,10.420678,78.700015,village
Agarapettai,Tamil Nadu,10.84288,78.90875,village
Agarappatty,Tamil Nadu,10.3613176,78.7857485,village
Agarathirumalam,Tamil Nadu,10.9336555,79.67098,village
Agarathirunallur,Tamil Nadu,10.7942174,79.59431,village
Agarathur,Tamil Nadu,11.0094557,79.3841094,village
Agaravallam,Tamil Nadu,11.0396858,79.6767069,village
Agaravattaram,Tamil Nadu,11.2900747,79.7869849,village
Agaraveli,Tamil Nadu,10.631289,79.7165308,village
Agaravelur,Tamil Nadu,11.10464,79.53471,village
Agarkirankudi,Tamil Nadu,11.0634061,79.6494091,village
Agasanapura,Tamil Nadu,12.4293987,77.128211,village
Agasarahalli,Tamil Nadu,12.614252,76.5262734,village
Agasarahalli,Tamil Nadu,13.350594,76.6055275,village
Agasarahatti,Tamil Nadu,12.9923427,76.0234658,village
Agastheeswaram,Tamil Nadu,8.1003376,77.5208939,village
Agastiakodu,Tamil Nadu,8.9460364,76.9178548,neighborhood
Agastiarkuttam,Tamil Nadu,9.3036696,78.9958348,village
Agatagaudanahalli,Tamil Nadu,11.8809608,76.6767128,village
Agatahalli,Tamil Nadu,12.5228421,76.7840402,village
Agatturu,Tamil Nadu,11.9728036,76.3669269,village
Agavayal,Tamil Nadu,10.4931395,78.8447785,village
Agestigunapalle,Tamil Nadu,13.4247354,78.6039611,village
Aggichenupalle,Tamil Nadu,13.3965823,79.2624168,village
Aggunda,Tamil Nadu,13.3227102,76.2974063,village
Aghalaya,Tamil Nadu,12.8048529,76.5238004,village
Agiladoddi,Tamil Nadu,12.9344722,78.5649877,village
Agile,Tamil Nadu,12.9325881,76.1032021,village
Agnespuram,Tamil Nadu,11.2973213,79.3871853,village
Agni,Tamil Nadu,11.9877321,79.7974256,neighborhood
Agni Jata,Tamil Nadu,11.9875843,79.8391284,neighborhood
Agnihalli,Tamil Nadu,13.162719,78.2318685,village
Agoor,Tamil Nadu,13.1756706,79.5746903,village
Agrahara,Tamil Nadu,12.6575294,76.1002386,village
Agrahara,Tamil Nadu,12.3558849,76.3175225,village
