name,type,latitude,longitude,district,state,osm_id
Chinnavalayam,hamlet,11.2122222,79.3867012,Ariyalur,Tamil Nadu,7216706960
Company Kudi Tribal Settlement,hamlet,10.0770233,76.9342914,Unknown,Tamil Nadu,7325537032
Puliyur,hamlet,10.3042106,77.5002086,Dindigul,Tamil Nadu,7379470897
Palakkada,hamlet,9.7454302,77.0713918,Theni,Tamil Nadu,7449541556
Seetha Mount,hamlet,11.8410446,76.2013765,Unknown,Tamil Nadu,7470315992
Lourde Nagar,hamlet,11.8483327,76.1857464,Unknown,Tamil Nadu,7470316000
Mukkudam,hamlet,9.9529761,77.0117325,Theni,Tamil Nadu,7470359083
5th Mile,hamlet,9.9582597,77.010783,Theni,Tamil Nadu,7470359497
Sruthi nagar,hamlet,11.8579807,76.1892935,Unknown,Tamil Nadu,7472751482
Anjooran Mandhai,hamlet,10.3126142,77.538017,Dindigul,Tamil Nadu,7474836656
Adikolly,hamlet,11.7814316,76.1888845,Unknown,Tamil Nadu,7475640617
1st Kilometre,hamlet,10.2655714,77.5331622,Dindigul,Tamil Nadu,7503745954
Pelakavai,hamlet,10.2631657,77.5261208,Dindigul,Tamil Nadu,7503759635
Pethuparai Vayal,hamlet,10.2869884,77.5240159,Dindigul,Tamil Nadu,7503759636
Kumbur Vayal,hamlet,10.292492,77.5384831,Dindigul,Tamil Nadu,7503759637
Amman Nagar,hamlet,10.2828133,77.5268081,Dindigul,Tamil Nadu,7503759638
Upper Vellaparai,hamlet,10.2787081,77.5353616,Dindigul,Tamil Nadu,7503759640
